TeamName,StoryPts,Deployed,Priority,LeadTime
ASSESS,5,TRUE,1,25.89244914
ASSESS,5,TRUE,1,25.88180559
ASSESS,3,TRUE,3,25.87697334
ASSESS,1,TRUE,1,25.87357689
YELLOWSTON,3,TRUE,3,25.87175162
YELLOWSTON,2,TRUE,1,25.79022044
VOYAGEURS,,TRUE,3,25.72315223
ENT,3,TRUE,3,25.72167262
VOYAGEURS,1,TRUE,3,25.71464997
ORYON,3,TRUE,3,25.69116771
ORYON,3,TRUE,3,25.69079807
ORYON,5,FALSE,1,25.68700154
FJORD,2,TRUE,3,25.63025073
DENALI,3,TRUE,3,25.6238353
YELLOWSTON,3,TRUE,3,25.14691061
FJORD,5,TRUE,3,25.13764777
ASSESS,5,TRUE,3,25.08206501
BASECAMP,8,TRUE,3,25.06694977
ASSESS,5,FALSE,3,25.06384787
BASECAMP,3,TRUE,3,25.05868785
ASSESS,3,TRUE,1,25.05595787
ACADIA,5,TRUE,3,25.04878958
ASSESS,1,FALSE,3,25.04181663
CONFIG,3,TRUE,2,24.99156847
CONFIG,3,TRUE,3,24.99103785
ASSESS,1,FALSE,3,24.96971731
ORYON,5,TRUE,3,24.94261157
PNL,1,FALSE,3,24.94062508
ACADIA,1,TRUE,2,24.93897419
DENALI,8,TRUE,3,24.86764094
ENT,3,TRUE,3,24.77969175
ENT,5,TRUE,3,24.77960845
PLANETX,3,TRUE,3,24.77023707
DENALI,3,TRUE,3,24.54995058
ASSESS,3,TRUE,1,24.21803565
ASSESS,3,TRUE,3,24.16874216
ASSESS,1,FALSE,3,24.12158365
ACADIA,3,TRUE,1,24.12149602
CONFIG,1,TRUE,3,24.07177477
ASSESS,3,TRUE,1,24.05199858
BR,5,TRUE,3,24.03573333
KMJ,5,TRUE,3,24.01148519
DENALI,8,TRUE,2,24.00536389
VOYAGEURS,,FALSE,3,23.99403128
ASSESS,3,TRUE,1,23.96495513
ASSESS,1,TRUE,3,23.93896718
PLANETX,1,TRUE,3,23.9353002
FJORD,2,TRUE,3,23.88967106
MATRIX,1,TRUE,3,23.79817639
PLANETX,1,TRUE,3,23.53840354
MATRIX,2,TRUE,3,23.17537512
MATRIX,2,TRUE,3,23.17527593
ACADIA,3,TRUE,3,23.145013
ENT,1,FALSE,3,23.11706212
ASSESS,0,FALSE,1,23.04412037
CONFIG,2,TRUE,3,23.00264907
BASECAMP,8,TRUE,3,22.97953816
VOYAGEURS,1,FALSE,3,22.97251134
VOYAGEURS,1,TRUE,3,22.93496262
VOYAGEURS,0,TRUE,3,22.82343803
FJORD,1,TRUE,3,22.76742816
YELLOWSTON,3,TRUE,3,22.75123047
PNL,2,FALSE,3,22.75062203
FJORD,2,TRUE,3,22.57289483
ACADIA,1,FALSE,3,22.33796799
DENALI,5,TRUE,3,22.15931751
YELLOWSTON,4,TRUE,3,22.09442179
